Car ID,Damaged Parts,Estimated Cost,Repair Status
6,Front collision with bumper and grille damage
10,"Severe front-end impact, airbags deployed"
12,"Left side collision, doors dented and scratched"
17,"Rear-end damage, bumper and trunk damaged"
33,"Front collision, headlights and hood damaged"
37,"Major crash, frame slightly bent"
41,Crashed — roof dent and windshield cracked
57,Front and right side collision
60,"Frontal crash, radiator damaged"
72,"Rear-end crash, tail light and trunk repair required"
78,Front bumper crash with minor engine damage
84,"Side impact crash, driver door damage"
86,"Head-on collision, severe damage to bonnet"
91,"Crash at intersection, left fender dented"
99,"Major crash, both bumpers and hood damaged"
